player;team;no;corsi.plus;corsi.minus;corsi.plus.minus;cf.prevaha;rozdil.vs.tym;corsi.plus.game;corsi.minus.game;indiv.strely;jak.casto.strili
Filippi;CZE;41;76;-67;9;53,1%;-6,3%;12,7;11,2;15;20%
MARCINKO;SVK;65;60;-67;-7;47,2%;-1,3%;10,0;11,2;14;23%
MARINCIN;SVK;52;78;-67;11;53,8%;5,9%;13,0;11,2;15;19%
REWAY;SVK;10;67;-67;0;50,0%;-2,9%;11,2;11,2;7;10%
MIKUS;SVK;26;67;-68;-1;49,6%;0,7%;11,2;11,3;13;19%
Plekanec;CZE;14;97;-68;29;58,8%;-1,3%;16,2;11,3;29;30%
MESZAROS;SVK;14;71;-69;2;50,7%;0,0%;11,8;11,5;14;20%
SEKERA;SVK;2;80;-70;10;53,3%;7,0%;13,3;11,7;12;15%
GRANAK;SVK;51;67;-72;-5;48,2%;0,2%;11,2;12,0;10;15%
LUSNAK;SVK;41;37;-73;-36;33,6%;-12,1%;6,2;12,2;11;30%
Šimek;CZE;45;94;-76;18;55,3%;-4,1%;15,7;12,7;16;17%
DRAVECKY;SVK;22;53;-77;-24;40,8%;-6,7%;8,8;12,8;7;13%
BARTANUS;SVK;61;69;-78;-9;46,9%;-1,6%;11,5;13,0;13;19%
Kundrátek;CZE;84;123;-78;45;61,2%;1,6%;20,5;13,0;19;15%
SVARNY;SVK;15;60;-84;-24;41,7%;-2,9%;10,0;14,0;14;23%
Kolář;CZE;29;88;-90;-2;49,4%;-7,5%;14,7;15,0;13;15%
GUSTAFSSON;SWE;56;77;-64;13;54,6%;-3,8%;15,4;12,8;13;17%
GUSTAFSSON;SWE;29;91;-70;21;56,5%;-1,5%;18,2;14,0;18;20%
